Timestamp,Offensive_Words_Detected,Sentence
2025-10-05 22:46:40,kill,"I will kill you"
2025-10-05 22:49:35,kill,"kill you"
2025-10-05 22:54:13,kill,"I will kill you"
2025-10-05 22:56:34,kill,"I will kill you"
2025-10-05 23:00:23,stupid,"you are stupid"
2025-10-05 23:02:49,kill,"kill you"
2025-10-05 23:07:17,idiot,"idiot"
2025-10-05 23:26:56,kill,"kill you"
2025-10-05 23:27:31,stupid,"are you stupid"
2025-10-05 23:53:04,kill,"I will kill you"
2025-10-06 00:02:12,,"stop the car"2025-10-06 00:09:08,kill,"are kill"
2025-10-06 00:09:25,idiot,"you idiot"
2025-10-06 00:49:43,kill,"I will kill you"
